nom_collab,prenom_collab,nom_parlementaire,prenom_parlementaire,id_parlementaire
DE WEVER,Rachelle,Vermorel-Marques,Antoine,PA794118
BOBAND,Gautier,Vermorel-Marques,Antoine,PA794118
De Fombelle,Hélène,Vermorel-Marques,Antoine,PA794118
Tindille,Maryline,Brun,Fabrice,PA718838
André,Augustin,Brun,Fabrice,PA718838
Rouille,Maëlle,Le Fur,Corentin,PA840979
Boulanger,Béatrice,Le Fur,Corentin,PA840979
Le Caroff,Nicolas,Le Fur,Corentin,PA840979
Vandier,Loïc,Le Fur,Corentin,PA840979
Le Rigoleur,Donatienne,Le Fur,Corentin,PA840979
Loué,Denise,Lenoir,Bartolomé,PA840983
SCHAUVING,Joachim,Lenoir,Bartolomé,PA840983
Demarigny,Damien,Lenoir,Bartolomé,PA840983
Robert,Glwadys,Lenoir,Bartolomé,PA840983
Maude,Victoire,Delannoy,Sandra,PA840119
Delettre,Guylane,Delannoy,Sandra,PA840119
Lecaille,Marion,Delannoy,Sandra,PA840119
Bergier,Antonin,Peytavie,Sébastien,PA793708
Cannard,Loan,Peytavie,Sébastien,PA793708
Jovignot,Laura,Peytavie,Sébastien,PA793708
Robini,Agnès,Peytavie,Sébastien,PA793708
Margaria,Noëlle,Mélin,Joëlle,PA793354
FIOL,Muriel,Mélin,Joëlle,PA793354
Yvars Laffite,Agnès,Mélin,Joëlle,PA793354
Hée,Renaud,Mélin,Joëlle,PA793354
Yamamoto,Nicolas,Metzdorf,Nicolas,PA795176
Crespel,Charles,Metzdorf,Nicolas,PA795176
Reydellet,Antoine,Grelier,Jean-Carles,PA267318
Jouathel,Corentin,Grelier,Jean-Carles,PA267318
DE DANNE,Anne,Grelier,Jean-Carles,PA267318
Pauvert,Willy,Grelier,Jean-Carles,PA267318
Heiligenstein,Nadège,Sitzenstuhl,Charles,PA794802
Théréau,Loïc,Sitzenstuhl,Charles,PA794802
Guillamot,Gilles,Bolo,Philippe,PA720162
Diamédo,Chloé,Bolo,Philippe,PA720162
MARTIN,Manoëlle,Woerth,Éric,PA2960
HERZ,Aurélie,Woerth,Éric,PA2960
GUILLOT,Isabelle,Woerth,Éric,PA2960
Miermont,Laurent,Maurel,Emmanuel,PA842271
Pêpe,Adrien,Falcon,Frédéric,PA793246
Panizzutti,Sandrine,Falcon,Frédéric,PA793246
JABARD,Alexandre,Falcon,Frédéric,PA793246
Obrador,Damien,Falcon,Frédéric,PA793246
Chretien,Laura,Martinez,Michèle,PA794770
MARTINAGGI,Maxime,Martinez,Michèle,PA794770
Cappelleri,Lora,Martinez,Michèle,PA794770
Lagoutte,Jérôme,Martinez,Michèle,PA794770
Cléret,Lorédane,Bourouaha,Soumya,PA720838
Isikli,Evre,Bourouaha,Soumya,PA720838
Ayoun,Djamila,Bourouaha,Soumya,PA720838
Sousa,Jacky,Bourouaha,Soumya,PA720838
LE BIHAN,Erwan,Delautrette,Stéphane,PA795430
BOISSERIE,Stéphanie,Delautrette,Stéphane,PA795430
JALLAIS,Céline,Delautrette,Stéphane,PA795430
POURRAT,Adrien,Delautrette,Stéphane,PA795430
Chambon,Léopoldine,Lorho,Marie-France,PA721932
Rolland,Jean-Baptiste,Lorho,Marie-France,PA721932
Dittmar,Julien,Lorho,Marie-France,PA721932
Justet,Vincent,Fait,Philippe,PA794658
Soudais,Domingo,Fait,Philippe,PA794658
Gosselin,Martin,Fait,Philippe,PA794658
Torrente,Maxime,Plassard,Christophe,PA793572
Lafarie,Thomas,Plassard,Christophe,PA793572
Parent,Vanessa,Plassard,Christophe,PA793572
Révolat,Camille,Plassard,Christophe,PA793572
KLING,Valérie,Colin-Oesterlé,Nathalie,PA841431
Claudon,Léa,Colin-Oesterlé,Nathalie,PA841431
Dupont,Angélique,Faucillon,Elsa,PA721896
Hebbache,Assia,Faucillon,Elsa,PA721896
Belmecheri-Rozental,Mehdi,Faucillon,Elsa,PA721896
El Hajri,Ismaël,Boyard,Louis,PA795318
Brody,Louise,Boyard,Louis,PA795318
Bourrée,Gwénolé,Boyard,Louis,PA795318
Zenadji,Sahra,Boyard,Louis,PA795318
BOUZON,Tim,Joncour,Tiffany,PA841749
PATARD,Florian,Joncour,Tiffany,PA841749
Gangand,Mathis,Joncour,Tiffany,PA841749
HAMELIN,Vincent,Michelet,Maxime,PA841395
Laurency,Jules,Michelet,Maxime,PA841395
Lefevre,Vincent,Michelet,Maxime,PA841395
Jacquelin,Thomas,Hollande,François,PA1654
Combes,Bernard,Hollande,François,PA1654
Laub,Anna,Hollande,François,PA1654
Nangéroni,Carole,Hollande,François,PA1654
Labbat,Baptiste,Hollande,François,PA1654
Bounouar,El Hadi,Delogu,Sébastien,PA793464
Tupin,Pierre,Delogu,Sébastien,PA793464
Yerrou,Yassir,Delogu,Sébastien,PA793464
Stievenard,Marc,Castiglione,Salvatore,PA794554
Meunier,Jérôme,Castiglione,Salvatore,PA794554
Charea,Jamel,Castiglione,Salvatore,PA794554
Parent,Maxime,Castiglione,Salvatore,PA794554
Joly,Janique,Da Conceicao Carvalho,Nathalie,PA795644
Botineau,Morgane,Da Conceicao Carvalho,Nathalie,PA795644
Nerrant,Stéphane,Da Conceicao Carvalho,Nathalie,PA795644
El Ouarghi,Sandra,Froger,Martine,PA822617
Facchetti,Mylène,Froger,Martine,PA822617
Barreto,Valérie,Froger,Martine,PA822617
Rouquet,Hélène,Froger,Martine,PA822617
DELANOUE,Jean-François,Bernhardt,Théo,PA841645
Villain,Nicolas,Bernhardt,Théo,PA841645
Hils,Robin,Bernhardt,Théo,PA841645
Petit,Jérôme,Pirès Beaune,Christine,PA608172
Planteblat,Martine,Pirès Beaune,Christine,PA608172
Watine,Charlotte,Pirès Beaune,Christine,PA608172
Largeron,Joris,Pirès Beaune,Christine,PA608172
Willem,Gauthier,Rambaud,Stéphane,PA795966
Werquin,Nathalie,Rambaud,Stéphane,PA795966
Versini,Christophe,Rambaud,Stéphane,PA795966
Leduc,Catherine,Rambaud,Stéphane,PA795966
Bliot,Cassandre,Mesmeur,Marie,PA841215
Dementhon,Ivan,Mesmeur,Marie,PA841215
Grignard,Typhaine,Mesmeur,Marie,PA841215
MALBOIS,Juliette,Mesmeur,Marie,PA841215
DELEGLISE,Gabriel,Taché,Aurélien,PA720952
Kamouk,Salwann,Taché,Aurélien,PA720952
Andrieu,Aurore,Taché,Aurélien,PA720952
Harigui,Rayan,Taché,Aurélien,PA720952
JOURDAN,Paul,Grenon,Daniel,PA795540
NASTORG,Thomas,Grenon,Daniel,PA795540
Large,Dominique,Grenon,Daniel,PA795540
Farin,Antoine,Cazeneuve,Jean-René,PA719472
Laurent,Thomas,Cazeneuve,Jean-René,PA719472
ASTIER,Clément,Cazeneuve,Jean-René,PA719472
Rubagotti,Adrien,Mansouri,Hanane,PA841183
Mickael,Mathieu,Mansouri,Hanane,PA841183
Escudier,François,Mansouri,Hanane,PA841183
BALDAS,Camille,Oberti,Jacques,PA841107
THERON,Elea,Oberti,Jacques,PA841107
AUGER,Emmanuel,Oberti,Jacques,PA841107
Genestine,Romain,Oberti,Jacques,PA841107
Couderc,Sylvie,David,Alain,PA1008
Joassard,Julien,David,Alain,PA1008
Ducasse-Reiss,Samuel,David,Alain,PA1008
