nom_collab,prenom_collab,nom_parlementaire,prenom_parlementaire,id_parlementaire
De butler,Sarah,De marco,Monique,MONIQUEDEMARCO
Defaux,Stéphanie,Barros,Pierre,PIERREBARROS
Defoix,Aurore,Verzelen,Pierre-Jean,PIERREJEANVERZELEN
Dehez,Marielle,Lubin,Monique,MONIQUELUBIN
Delacoux des roseaux,Marin,Rochette,Pierre-Jean,PIERREJEANROCHETTE
Delacoux des roseaux,Marin,Bourcier,Corinne,CORINNEBOURCIER
Delage,Patricia,Chasseing,Daniel,DANIELCHASSEING
Delaitre,Jade,Romagny,Anne-Sophie,ANNESOPHIEROMAGNY
Delamare,Thibault,Conway-mouret,Hélène,HELENECONWAYMOURET
Del poso,Carole,Sol,Jean,JEANSOL
De maistre,Elisabeth,Lavarde,Christine,CHRISTINELAVARDE
De montgolfier,Edouard,Hybert,Brigitte,BRIGITTEHYBERT
Denieault,Thomas *,De montgolfier,Albéric,ALBERICDEMONTGOLFIER
Denis,Doriane,Jeansannetas,Éric,ERICJEANSANNETAS
Denis,Doriane,Blatrix contat,Florence,FLORENCEBLATRIXCONTAT
De raguenel,Inès,Olivier,Jean-Baptiste,JEANBAPTISTEOLIVIER
Dereep,Luca,Brossat,Ian,IANBROSSAT
Derothe,Benjamin,Narassiguin,Corinne,CORINNENARASSIGUIN
Deschamps,Anne-Sophie,Morin-desailly,Catherine,CATHERINEMORINDESAILLY
Deshaies,Laurent,Benarroche,Guy,GUYBENARROCHE
Desmarest,Frédérique,Courtial,Édouard,EDOUARDCOURTIAL
Dessaigne,Aurore,Ollivier,Mathilde,MATHILDEOLLIVIER
De villepin,Graziella,Szpiner,Francis,FRANCISSZPINER
Devilliers,Hélène,Chevalier,Cédric,CEDRICCHEVALIER
Devoise,Céline,Houpert,Alain,ALAINHOUPERT
D'herouville-le tanneur,Marie,Cambier,Guislain,GUISLAINCAMBIER
D'herve,Titouan,Le rudulier,Stéphane,STEPHANELERUDULIER
Diessler,Beriwan,Sautarel,Stéphane,STEPHANESAUTAREL
Dietsche,Yoan,Arnaud,Jean-Michel,JEANMICHELARNAUD
Di folco,Camille,Bacchi,Jérémy,JEREMYBACCHI
Dijoux,Gabriel,Corbiere naminzo,Evelyne,EVELYNECORBIERENAMINZO
Dion,Véronique,Mizzon,Jean-Marie,JEANMARIEMIZZON
Diot,Arthur,Margaté,Marianne,MARIANNEMARGATE
Diot,Anne-Camille,Bellurot,Nadine,NADINEBELLUROT
Ditte,Vincent,Linkenheld,Audrey,AUDREYLINKENHELD
Divo,Léa,Morin-desailly,Catherine,CATHERINEMORINDESAILLY
Djebara,Smaïl,Eblé,Vincent,VINCENTEBLE
Djengue-ekoh,Dimitri,Paoli-gagin,Vanina,VANINAPAOLIGAGIN
Donay,Raphaël,Chantrel,Yan,YANCHANTREL
Dorso,André,Omar oili,Saïd,SAIDOMAROILI
Dostes,Romain,De marco,Monique,MONIQUEDEMARCO
Doublet,Charles-Edouard,Rojouan,Bruno,BRUNOROJOUAN
Douin,Armand,Hugonet,Jean-Raymond,JEANRAYMONDHUGONET
Doussot,Dimitri,Joyandet,Alain,ALAINJOYANDET
Dressayre,Christelle,Marc,Alain,ALAINMARC
Dubreuil,Yann,Montaugé,Franck,FRANCKMONTAUGE
Ducelier,Anne-Valérie,Jomier,Bernard,BERNARDJOMIER
Dudragne,Michaël,Durain,Jérôme,JEROMEDURAIN
Dufeigneux,Céline,Pernot,Clément,CLEMENTPERNOT
Dufeigneux,Céline,Somon,Laurent,LAURENTSOMON
Dufosse,Elisa,Pluchet,Kristina,KRISTINAPLUCHET
Dujardin,Catherine,Verzelen,Pierre-Jean,PIERREJEANVERZELEN
Dumaine,Sylvie,Lermytte,Marie-Claude,MARIECLAUDELERMYTTE
Dumas,Nathalie,Blanc,Étienne,ETIENNEBLANC
Dumestre,Isabelle,Tissot,Jean-Claude,JEANCLAUDETISSOT
Dumont,Axel,Jadot,Yannick,YANNICKJADOT
Dupont,Bénédicte,Gréaume,Michelle,MICHELLEGREAUME
Dupont,Bénédicte,Basquin,Alexandre,ALEXANDREBASQUIN
Dupont,Tatiana,Cozic,Thierry,THIERRYCOZIC
Dupre,Gaëlle,Perrot,Évelyne,EVELYNEPERROT
Dupuy,Joëlle,Redon-sarrazy,Christian,CHRISTIANREDONSARRAZY
Duquesne,Fabien,Gontard,Guillaume,GUILLAUMEGONTARD
Duraisin,Fabienne,Gréaume,Michelle,MICHELLEGREAUME
Durand,Arthur,Chauvet,Patrick,PATRICKCHAUVET
Durand,Eléonore,Evren,Agnès,AGNESEVREN
Durassier,Sylvie,Perrion,Maurice,MAURICEPERRION
Duribreu,Jules,Vérien,Dominique,DOMINIQUEVERIEN
Dussot,Sylvie,Jeansannetas,Éric,ERICJEANSANNETAS
Ehl,Robin,Vogel,Mélanie,MELANIEVOGEL
Ehrhard,Thomas,Anglars,Jean-Claude,JEANCLAUDEANGLARS
Eisinger,Sophie,Benarroche,Guy,GUYBENARROCHE
El alami,Samira,Cabanel,Henri,HENRICABANEL
El idrissi,Fayçal,Daubresse,Marc-Philippe,MARCPHILIPPEDAUBRESSE
Ellul,Pascal,Levi,Pierre-Antoine,PIERREANTOINELEVI
El manoguy,Yohan,Kanner,Patrick,PATRICKKANNER
Esnouf,Franck,Bas,Philippe,PHILIPPEBAS
Espinasse,Laurent,Grand,Jean-Pierre,JEANPIERREGRAND
Essola,Audrey,Uzenat,Simon,SIMONUZENAT
Establie,Françoise,Micouleau,Brigitte,BRIGITTEMICOULEAU
Evain,Laurence,Husson,Jean-François,JEANFRANCOISHUSSON
Evrard,Esteban,Apourceau-poly,Cathy,CATHYAPOURCEAUPOLY
Fabre,Frédérique,Cazabonne,Alain,ALAINCAZABONNE
Fages,Loïc,Cardon,Rémi,REMICARDON
Faisandier,Luc,Harribey,Laurence,LAURENCEHARRIBEY
Faivre,Capucine,Fargeot,Daniel,DANIELFARGEOT
Falgas,Anthony,Levi,Pierre-Antoine,PIERREANTOINELEVI
Fargues,Céline,Vayssouze-faure,Jean-Marc,JEANMARCVAYSSOUZEFAURE
Farinotti,Nastasia,Berthet,Martine,MARTINEBERTHET
Faure,Amandine,Rochette,Pierre-Jean,PIERREJEANROCHETTE
Faure,Sarah,Pla,Sébastien,SEBASTIENPLA
Faye,Florence,Bilhac,Christian,CHRISTIANBILHAC
Faynel,Shérazade,Poncet monge,Raymonde,RAYMONDEPONCETMONGE
De felice,Marie-Laure,Goulet,Nathalie,NATHALIEGOULET
Feron,Jules,Drexler,Sabine,SABINEDREXLER
Feron,Jules,Klinger,Christian,CHRISTIANKLINGER
Fevrier,Inès,Harribey,Laurence,LAURENCEHARRIBEY
Fiacre,Capucine,Iacovelli,Xavier,XAVIERIACOVELLI
Filippi-paoli,Sophie,Basquin,Alexandre,ALEXANDREBASQUIN
Fily,Ombeline,Cigolotti,Olivier,OLIVIERCIGOLOTTI
Fily,Ombeline,Médevielle,Pierre,PIERREMEDEVIELLE
Fiorello,Valentine,Reynaud,Hervé,HERVEREYNAUD
Fisseau,Alexandra,De nicolay,Louis-Jean,LOUISJEANDENICOLAY
Fleret,Aurianne,Canévet,Michel,MICHELCANEVET
Fline,Thibault,Chain-larché,Anne,ANNECHAINLARCHE
Flory,Delphine,Darnaud,Mathieu,MATHIEUDARNAUD
Flouriot,Romane,Le houerou,Annie,ANNIELEHOUEROU
Fond,Louis,Tissot,Jean-Claude,JEANCLAUDETISSOT
Font-guillermet,Valérie,Sol,Jean,JEANSOL
Fortane,Rémi,Cozic,Thierry,THIERRYCOZIC
Foucault,Ghislaine,Eblé,Vincent,VINCENTEBLE
Fougeray,Marie-Aude,Gerbaud,Frédérique,FREDERIQUEGERBAUD
Fourgous,Pierre-Henri,Bonhomme,François,FRANCOISBONHOMME
Fourny,Florentin,Belrhiti,Catherine,CATHERINEBELRHITI
Fourtic-dutarde,Yseline,Rossignol,Laurence,LAURENCEROSSIGNOL
